policy_id,label
6740,1
7949,1
642,0
2525,0
6959,1
11618,0
10526,0
14099,0
19122,1
12229,0
3288,1
8784,0
5244,1
2289,1
613,0
10179,1
1008,1
693,1
14235,1
5815,0
15775,0
17506,0
10045,0
6530,0
6077,1
14030,0
17995,0
15864,0
12099,1
6283,0
2750,0
5374,1
15352,1
9770,1
2444,1
12200,0
7310,0
17773,0
229,0
15336,1
9776,1
344,0
14889,0
14650,0
15146,1
4754,0
5911,0
12069,0
16700,0
14441,0
3946,0
5585,0
15604,0
11052,1
1034,1
9182,1
19221,1
13964,0
19195,0
19169,0
16761,0
5382,0
8614,0
13850,0
7874,1
11053,0
10843,0
12991,1
6018,0
3443,0
8492,0
2707,1
4289,1
4399,1
4686,1
18891,1
9248,1
3204,1
11856,0
15783,1
13154,0
15636,0
669,0
18886,1
5607,0
10765,0
15405,1
18531,0
10290,0
10948,0
8269,1
13773,1
9657,1
16140,1
625,1
12180,1
886,0
17820,0
17636,1
15707,1
15701,0
3266,1
9891,1
17869,0
4089,0
4072,1
11849,0
12974,1
14381,1
17114,1
7713,1
14848,1
6253,0
18394,0
14335,0
17297,0
16571,1
16359,0
120,0
18257,1
5429,1
14309,1
10947,0
10544,1
4136,1
1231,0
8266,0
8252,1
13745,0
8293,0
8152,1
558,0
14369,0
4818,1
17833,0
17294,1
12916,0
5565,0
6562,1
7914,0
4938,0
13464,0
16336,1
4788,0
2485,1
11585,0
16250,1
13337,1
9210,0
2572,1
18388,1
11656,0
3922,0
18173,0
17644,1
17563,1
18463,1
15398,1
16589,0
1772,0
1986,0
5999,0
6687,0
7289,1
4146,0
2243,0
13482,1
17393,0
2687,1
10380,1
16615,1
15771,0
6612,1
14119,0
4186,0
12141,1
9066,0
10398,0
4185,0
10566,1
15357,0
15033,0
8998,1
8974,0
13203,1
11298,1
17708,1
15896,0
7651,1
13449,0
8380,0
11928,1
15450,0
7432,0
13648,1
12114,0
9324,0
14687,1
12479,1
3954,0
15360,1
17591,0
18274,0
7595,0
3926,1
8531,0
2393,0
7254,1
9963,0
6450,0
9155,0
5963,1
11072,0
4656,0
15199,1
4135,0
12278,0
6719,1
17996,0
8310,1
556,0
15371,1
11578,0
3508,1
5408,1
2520,0
7778,0
934,0
4296,1
9944,0
14578,1
12354,0
3783,0
15643,0
14170,1
12615,0
17586,0
12391,0
18355,1
6180,0
17371,1
13047,0
18584,1
2547,0
8179,1
7614,1
1997,0
13704,0
8374,1
14315,1
16749,1
